,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,lambda,1.54,
,,,a,0,,,,,,
,,,b,4,,,,,,
,,,m,0.35,,,,,,
,,,,,,,,,,
,,r1,r2,x,f(x),f(x)/M,r2 <= (fx)/M,Valor redondeo,,
,1,0.1207142,0.8479870,0.4828569489,0.2143811014,0.6125174326,Rechazo X,No aceptado,,
,2,0.5551633,0.6460724,2.220653133,0.2542131101,0.7263231716,Acepto X,2,,
,3,0.4678525,0.1042162,1.871410143,0.3301468962,0.9432768463,Acepto X,2,,
,4,0.6229208,0.0774662,2.491683074,0.2542131101,0.7263231716,Acepto X,2,,
,5,0.6725508,0.8543689,2.690203001,0.2542131101,0.7263231716,Rechazo X,No aceptado,,
,6,0.5128658,0.7855930,2.0514631,0.2542131101,0.7263231716,Rechazo X,No aceptado,,
,7,0.6176251,0.5267160,2.470500373,0.2542131101,0.7263231716,Acepto X,2,,
,8,0.7908208,0.1544572,3.163283319,0.1304960632,0.3728458948,Acepto X,3,,
,9,0.2048340,0.7502885,0.8193360038,0.2143811014,0.6125174326,Rechazo X,No aceptado,,
,10,0.8303347,0.6485165,3.321338855,0.1304960632,0.3728458948,Rechazo X,No aceptado,,`
,11,0.7069726,0.4342454,2.827890556,0.2542131101,0.7263231716,Acepto X,3,,
,12,0.7441103,0.8350193,2.976441035,0.2542131101,0.7263231716,Rechazo X,No aceptado,,
,13,0.1198316,0.7561953,0.4793264987,0.2143811014,0.6125174326,Rechazo X,No aceptado,,
,14,0.9082083,0.3627538,3.632833186,0.1304960632,0.3728458948,Acepto X,4,,
,15,0.2498472,0.4316654,0.9993889606,0.2143811014,0.6125174326,Acepto X,1,,
,16,0.8250390,0.0977663,3.300156155,0.1304960632,0.3728458948,Acepto X,3,,
,17,0.8252427,0.7343336,3.300970874,0.1304960632,0.3728458948,Rechazo X,No aceptado,,
,18,0.4360785,0.7997148,1.744313938,0.3301468962,0.9432768463,Acepto X,2,,
,19,0.3325412,0.8779958,1.330164981,0.3301468962,0.9432768463,Acepto X,1,,
,20,0.8243601,0.6425419,3.297440424,0.1304960632,0.3728458948,Rechazo X,No aceptado,,
,21,0.7891235,0.5163962,3.156493991,0.1304960632,0.3728458948,Rechazo X,No aceptado,,
,22,0.1145359,0.2054450,0.4581437979,0.2143811014,0.6125174326,Acepto X,0,,
